date,vehicle_id,model,region,repair_type,issue_category,technician_level,service_cycle_time_hrs,mtbf_hours,fleet_uptime_pct,resolution_rate,parts_cost,labor_cost,total_cost
2026-02-28,RBT0096,Model Y,Miami FL,Tesla Fleet,Brake System,Senior,3.2,126.07,81.48,0.893,499.55,413.31,912.86
2026-02-28,RBT0177,Cybercab,Miami FL,Tesla Fleet,Sensor Failure,Senior,3.14,422.49,80.64,0.88,994.19,406.59,1400.78
2026-02-28,RBT0161,Model 3,Las Vegas NV,Emergency Repair,Camera Calibration,Mid,7.88,257.31,75.0,0.901,639.42,1009.83,1649.25
2026-02-28,RBT0139,Model Y,Miami FL,B2B Customer,Battery Issue,Junior,4.9,262.13,75.38,0.868,1743.5,547.58,2291.08
2026-02-28,RBT0112,Cybercab,Phoenix AZ,Robotaxi Repair,Camera Calibration,Mid,2.88,473.62,81.75,0.857,1885.07,318.92,2203.99
2026-02-28,RBT0075,Model 3,Las Vegas NV,Robotaxi Repair,Brake System,Mid,1.3,473.18,87.81,0.871,1147.54,126.76,1274.3
2026-02-28,RBT0013,Cybercab,San Francisco CA,B2B Customer,Sensor Failure,Senior,4.06,440.25,79.26,0.882,1069.02,441.44,1510.46
2026-02-28,RBT0012,Model Y,Miami FL,Scheduled Maintenance,Battery Issue,Senior,1.99,468.22,87.21,0.935,1493.17,289.95,1783.1200000000001
2026-02-28,RBT0056,Model 3,Phoenix AZ,B2B Customer,Tire Replacement,Junior,2.06,443.25,85.38,0.927,355.24,217.47,572.71
2026-02-28,RBT0116,Model Y,Phoenix AZ,Emergency Repair,Brake System,Mid,2.2,307.52,84.98,0.97,188.8,203.13,391.93
2026-02-28,RBT0055,Cybercab,Austin TX,Tesla Fleet,Electrical Issue,Senior,3.36,504.16,79.79,0.866,488.38,289.47,777.85
2026-02-28,RBT0087,Model 3,Phoenix AZ,Tesla Fleet,Electrical Issue,Junior,1.29,166.64,88.87,0.955,1159.95,124.25,1284.2
2026-02-28,RBT0059,Cybercab,Austin TX,Robotaxi Repair,Brake System,Senior,2.22,368.1,84.85,0.926,903.63,265.64,1169.27
2026-02-28,RBT0183,Cybercab,Las Vegas NV,Scheduled Maintenance,Tire Replacement,Mid,1.41,217.03,88.06,0.944,1728.01,167.31,1895.32
2026-02-28,RBT0094,Model 3,Austin TX,Robotaxi Repair,Electrical Issue,Senior,4.29,439.05,78.2,0.875,1061.98,463.57,1525.55
2026-02-28,RBT0140,Model Y,Miami FL,Tesla Fleet,Software Update,Senior,2.74,144.57,85.44,0.916,846.28,271.83,1118.11
2026-02-28,RBT0111,Cybercab,Austin TX,Robotaxi Repair,Electrical Issue,Junior,2.32,419.75,84.49,0.982,1636.45,269.63,1906.08
2026-02-28,RBT0171,Cybercab,Miami FL,Scheduled Maintenance,Sensor Failure,Mid,0.88,300.64,92.43,0.971,1658.61,65.97,1724.58
2026-02-28,RBT0162,Model 3,San Francisco CA,Emergency Repair,Brake System,Mid,2.33,156.74,85.8,0.92,911.98,183.39,1095.37
2026-02-28,RBT0063,Cybercab,Phoenix AZ,Tesla Fleet,Camera Calibration,Junior,4.71,289.52,76.17,0.867,1947.64,568.42,2516.06
2026-02-28,RBT0028,Model Y,Austin TX,B2B Customer,Tire Replacement,Junior,2.24,408.55,85.29,0.881,1690.74,187.31,1878.05
2026-02-28,RBT0072,Model Y,Phoenix AZ,Robotaxi Repair,Tire Replacement,Junior,2.99,372.66,82.56,0.888,1677.71,444.59,2122.3
2026-02-28,RBT0051,Cybercab,Austin TX,B2B Customer,Brake System,Senior,1.58,279.62,88.82,0.954,316.19,126.66,442.85
2026-02-28,RBT0089,Model 3,Miami FL,Scheduled Maintenance,Battery Issue,Senior,0.9,408.1,92.15,0.967,1180.85,112.14,1292.99
2026-02-28,RBT0126,Model 3,Las Vegas NV,B2B Customer,Brake System,Senior,2.94,149.3,83.81,0.903,1869.06,411.88,2280.94
2026-02-28,RBT0029,Model 3,Miami FL,B2B Customer,Camera Calibration,Mid,1.93,375.02,85.12,0.954,1425.19,262.78,1687.97
